,ChamberID,LightM,LightB,LightR2,LightP,GoodLight?,DarkM,DarkB,DarkR2,DarkP,Good?,
132,W4.R3.C12,7.413416683,229.7029443,0.980602964,0.088953267,TRUE,-0.912449186,355.720795,0.964198069,0.121187963,TRUE,
133,W4.R4.C01,2.853687758,228.3611247,0.995076406,0.044707281,TRUE,0.037844734,294.0290423,0.000469194,0.986209166,FALSE,
134,W4.R4.C02,3.197650548,257.0991431,0.999774008,0.009570693,TRUE,-0.801946733,332.557182,0.561771022,0.46057462,TRUE,
135,W4.R4.C03,6.416449757,254.0860074,0.978484086,0.093719471,TRUE,-0.378133478,384.3071545,0.27458948,0.64886874,FALSE,
136,W4.R4.C04,-0.416606609,248.3042923,0.885572433,0.219684398,FALSE,0.954740437,232.1507404,0.79411521,0.299824813,FALSE,
137,W4.R4.C05,9.932920187,258.0023114,0.999724835,0.010560787,TRUE,-3.236521978,492.4024549,0.963103416,0.123049753,TRUE,
138,W4.R4.C06,8.126230006,289.1265413,0.998722046,0.022763037,TRUE,0.533965015,446.4748397,0.12443333,0.770492482,FALSE,
139,W4.R4.C07,4.269599769,256.0986025,0.999947337,0.004619937,TRUE,0.749186785,359.6717611,0.310704014,0.62359163,FALSE,
140,W4.R4.C08,4.559052881,265.7613552,0.997668893,0.030748937,TRUE,-1.113158002,375.8281255,0.981183032,0.08760451,TRUE,
141,W4.R4.C09,-0.028654301,265.2493512,0.044162421,0.865210456,FALSE,-0.074494415,266.8043941,0.253196492,0.664321873,FALSE,
142,W4.R4.C10,3.220712589,228.8392098,0.999917131,0.00579537,TRUE,-2.408674541,351.4845984,0.980933489,0.088187202,TRUE,
143,W4.R4.C11,0.014762094,269.3097756,0.019620709,0.910531945,FALSE,0.060874891,269.1950236,0.195159615,0.708702356,FALSE,
144,W4.R4.C12,2.151668601,281.794477,0.950386077,0.14300139,TRUE,0.467264638,339.1725723,0.286759959,0.640246577,FALSE,
