Nub_ID,Nubbin.ID,Colony,Nutrient.Level,Tank.Level,Species,Assignment,d.wt,Chip_X.mm,Chip_Y.mm,Chip_Z.mm,Dome.Cone,r,chunk_SA,nub_SA,Total_SA,bw.growth,std.growth
G156_Por3_CH_N0.T3,G156_Por3_CH,3,N0,T3,POR,CH,0.78508,12.61,9.15,5.95,Dome,NA,NA,NA,NA,NA,NA
G157_Por3_CH_T0,G157_Por3_CH,3,,T0,POR,T0,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G158_Por3_CH_T0,G158_Por3_CH,3,,T0,POR,T0,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G159_Por3_CH_N3.T3,G159_Por3_CH,3,N3,T3,POR,CH,0.22648,1.62,9.69,8.79,Dome,NA,NA,NA,NA,NA,NA
G160_Por3_TP_N3.T2,G160_Por3_TP,3,N3,T2,POR,TP,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G161_Por4_CH_N2.T2,G161_Por4_CH,4,N2,T2,POR,CH,0.6994,6.98,8.7,7.58,Dome,NA,NA,NA,NA,NA,NA
G162_Por4_CH_N0.T3,G162_Por4_CH,4,N0,T3,POR,CH,0.68183,9.43,6.53,3.48,Dome,NA,NA,NA,NA,NA,NA
G163_Por4_CH_N4.T1,G163_Por4_CH,4,N4,T1,POR,CH,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G164_Por4_CH_T0,G164_Por4_CH,4,,T0,POR,T0,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G165_Por4_TP_N0.T1,G165_Por4_TP,4,N0,T1,POR,TP,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G166_Por4_CH_N2.T3,G166_Por4_CH,4,N2,T3,POR,CH,0.60099,9.97,9.66,9.71,Dome,NA,NA,NA,NA,NA,NA
G167_Por4_CH_N3.T3,G167_Por4_CH,4,N3,T3,POR,CH,0.60815,11.7,8.64,9.4,Dome,NA,NA,NA,NA,NA,NA
G168_Por4_CH_N1.T1,G168_Por4_CH,4,N1,T1,POR,CH,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G169_Por4_CH_N0.T1,G169_Por4_CH,4,N0,T1,POR,CH,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G170_Por4_TP_N3.T3,G170_Por4_TP,4,N3,T3,POR,TP,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G171_Por4_TP_N4.T1,G171_Por4_TP,4,N4,T1,POR,TP,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G172_Por4_CH_T0,G172_Por4_CH,4,,T0,POR,T0,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G173_Por4_CH_N2.T1,G173_Por4_CH,4,N2,T1,POR,CH,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G174_Por4_CH_N4.T3,G174_Por4_CH,4,N4,T3,POR,CH,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G175_Por4_CH_N1.T3,G175_Por4_CH,4,N1,T3,POR,CH,0.3056,7.77,7.91,7.06,Dome,NA,NA,NA,NA,NA,NA
G176_Por4_CH_N4.T2,G176_Por4_CH,4,N4,T2,POR,CH,0.38651,12.55,11.13,5.01,Dome,NA,NA,NA,NA,NA,NA
